author,statement,source,date,target
Monique Curet,“Federal magistrate approves $110 million defamation suit against LeBron James by Kyle Rittenhouse.”,Facebook posts,"December 2, 2021",pants-fire
Becca Schimmel,A chart shows China and India are leading in per capita carbon dioxide emissions.,Facebook posts,"December 2, 2021",half-true
Tom Kertscher,Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,Bloggers,"December 2, 2021",false
Bill McCarthy,"""Don’t be fooled by the next ‘Variant’! There are actually 1000’s of them. They just will pick the next one to keep the fear going.""",Facebook posts,"December 1, 2021",barely-true
Monique Curet,Black Friday originated in 1904 when enslaved people were sold at a discount to boost the economy.,Facebook posts,"December 1, 2021",false
Monique Curet,“BREAKING: Judge in Ghislaine Maxwell trial issues media-wide gag order: all press & spectators barred from courtroom.”,Facebook posts,"December 1, 2021",false
Jon Greenberg,“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi.,Tate Reeves,"December 1, 2021",half-true
Tom Kertscher,"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.",Facebook posts,"December 1, 2021",false
Ciara O'Rourke,“Kyle Rittenhouse files $400 million suit against CNN!”,Viral image,"December 1, 2021",false
Amy Sherman,"“Approximately 60,000 Canadians currently live undocumented in the USA.”",Cori Bush,"October 4, 2021",mostly-true
